Student,Courses
Student1,1010,1008,1006,1003,1009
Student2,1008,1001,1003,1004,1010
Student3,1009,1004,1008,1003,1002
Student4,1008,1004,1010,1002,1003
Student5,1005,1002,1006,1003,1004
Student6,1002,1001,1003,1009,1005
Student7,1006,1005,1001,1004,1008
Student8,1004,1008,1003,1001,1010
Student9,1004,1002,1009,1005,1003
Student10,1005,1001,1007,1003,1004
Student11,1002,1005,1010,1004,1006
Student12,1001,1010,1006,1002,1005
Student13,1003,1009,1007,1010,1001
Student14,1010,1006,1005,1002,1001
Student15,1004,1006,1003,1007,1005
Student16,1009,1006,1004,1010,1007
Student17,1003,1010,1005,1006,1007
Student18,1004,1002,1001,1007,1005
Student19,1003,1002,1007,1006,1010
Student20,1004,1009,1001,1007,1005
Student21,1004,1010,1009,1003,1006
Student22,1008,1001,1003,1010,1004
Student23,1009,1003,1001,1002,1004
Student24,1006,1001,1007,1002,1005
Student25,1002,1005,1007,1003,1001
Student26,1001,1002,1010,1008,1003
Student27,1008,1006,1004,1003,1007
Student28,1003,1006,1002,1004,1010
Student29,1003,1007,1004,1010,1008
Student30,1003,1010,1007,1006,1002
Student31,1008,1005,1007,1004,1003
Student32,1005,1010,1004,1002,1003
Student33,1006,1002,1007,1001,1005
Student34,1003,1010,1008,1005,1007
Student35,1008,1003,1004,1005,1009
Student36,1003,1010,1005,1009,1002
Student37,1002,1007,1009,1008,1001
Student38,1010,1002,1006,1004,1008
Student39,1002,1009,1001,1003,1010
Student40,1006,1005,1004,1010,1008
Student41,1007,1001,1010,1008,1009
Student42,1001,1004,1006,1010,1009
Student43,1006,1002,1008,1009,1005
Student44,1003,1008,1006,1007,1010
Student45,1010,1007,1004,1005,1001
Student46,1004,1007,1002,1003,1008
Student47,1005,1008,1003,1001,1010
Student48,1008,1002,1009,1003,1006
Student49,1001,1009,1004,1005,1007
Student50,1001,1007,1008,1005,1010
Student51,1005,1008,1003,1007,1006
Student52,1002,1009,1001,1003,1006
Student53,1004,1009,1002,1010,1006
Student54,1004,1010,1005,1009,1003
Student55,1006,1002,1005,1004,1001
Student56,1008,1004,1006,1009,1001
Student57,1010,1005,1004,1001,1008
Student58,1004,1006,1001,1008,1007
Student59,1005,1001,1008,1009,1007
Student60,1009,1010,1006,1005,1002
Student61,1009,1003,1005,1010,1007
Student62,1004,1001,1002,1003,1006
Student63,1001,1008,1009,1004,1010
Student64,1006,1005,1009,1001,1010
Student65,1007,1008,1003,1001,1005
Student66,1002,1001,1010,1008,1004
Student67,1010,1006,1004,1003,1005
Student68,1010,1008,1002,1005,1007
Student69,1009,1001,1005,1004,1006
Student70,1009,1002,1007,1004,1008
Student71,1009,1002,1003,1008,1010
Student72,1002,1007,1001,1009,1005
Student73,1008,1006,1009,1003,1004
Student74,1009,1010,1003,1002,1008
Student75,1003,1004,1006,1007,1009
Student76,1003,1002,1001,1010,1007
Student77,1001,1008,1007,1006,1010
Student78,1008,1010,1005,1002,1004
Student79,1003,1007,1010,1008,1002
Student80,1008,1009,1002,1010,1004
Student81,1006,1007,1001,1010,1009
Student82,1003,1010,1006,1008,1005
Student83,1008,1004,1002,1007,1001
Student84,1005,1001,1004,1002,1008
Student85,1009,1001,1004,1003,1010
Student86,1002,1010,1008,1001,1004
Student87,1005,1009,1001,1006,1004
Student88,1009,1002,1003,1001,1005
Student89,1003,1002,1008,1001,1010
Student90,1006,1008,1007,1009,1005
Student91,1003,1005,1002,1009,1007
Student92,1001,1003,1002,1009,1010
Student93,1006,1004,1003,1005,1008
Student94,1003,1001,1008,1005,1010
Student95,1009,1003,1002,1001,1010
Student96,1004,1003,1008,1002,1001
Student97,1002,1010,1001,1006,1005
Student98,1003,1005,1007,1002,1010
Student99,1003,1001,1005,1008,1002
Student100,1006,1010,1005,1002,1009
