Cost,Life,Weight
494,2,42
849,11,9
412,1,11
100,1,32
931,6,48
578,5,25
298,12,31
306,1,36
402,9,14
724,8,25
975,2,38
896,8,14
785,2,28
440,7,13
286,8,43
803,9,31
460,1,19
903,3,15
556,3,50
261,12,12
661,12,50
592,3,18
867,10,19
801,9,11
264,11,29
824,9,12
187,10,6
845,11,48
435,12,41
582,3,50
659,4,49
549,7,40
443,12,37
403,1,28
940,1,16
461,4,38
375,11,12
316,11,17
101,4,5
340,10,47
334,7,11
778,12,32
314,9,25
944,4,30
687,1,50
377,5,29
941,7,5
181,2,49
298,12,8
717,7,49
123,10,16
861,12,29
282,8,44
635,10,29
831,3,4
952,4,2
728,3,6
170,7,12
819,7,41
577,3,43
922,12,28
528,5,6
439,4,23
255,8,23
876,11,1
263,6,49
251,8,28
413,7,5
627,10,39
857,10,20
512,11,24
558,10,38
408,4,29
217,7,47
893,8,13
280,10,39
117,12,38
151,5,19
139,7,29
949,3,44
500,2,11
434,9,9
319,10,42
216,10,9
406,4,11
337,10,17
996,2,10
683,5,45
876,12,42
578,3,4
893,12,9
887,5,41
949,6,19
847,8,47
838,1,5
959,5,39
765,4,2
557,6,27
560,5,39
357,2,27
