Cost,Life,Weight
308,11,16
413,6,39
641,6,19
520,10,50
553,5,49
997,11,19
397,2,42
474,11,34
623,2,14
717,1,19
592,5,26
742,10,12
870,10,36
704,11,31
124,10,46
759,8,8
899,6,16
960,6,23
467,11,1
158,4,14
177,11,18
716,8,40
230,12,17
634,4,48
509,10,9
441,8,1
868,11,45
307,12,38
509,3,16
258,3,43
887,4,21
756,4,17
889,2,36
438,10,20
372,12,31
341,12,22
229,3,40
226,11,13
648,12,49
344,7,3
832,7,42
287,2,6
537,2,40
116,9,31
726,8,27
523,1,35
303,1,11
419,9,48
742,1,45
659,5,47
110,7,13
895,9,48
543,10,23
418,1,13
882,7,14
296,6,13
439,7,46
583,1,10
981,4,34
742,6,42
462,4,11
790,3,27
109,5,17
738,12,13
447,7,49
386,10,43
775,10,9
482,8,50
288,3,48
145,12,46
463,6,44
228,5,6
564,4,46
573,7,12
397,1,47
797,8,37
601,3,25
814,4,25
898,12,15
883,6,11
824,6,11
346,4,7
780,10,20
984,4,22
454,8,36
450,12,6
667,3,2
105,4,22
763,3,26
838,3,32
566,12,42
838,1,20
803,4,41
232,5,22
308,11,50
162,9,15
744,4,38
376,7,30
850,9,35
799,8,29
